,sentence,aspect_term,polarity,from,to
0,it is a cozy place to go with a couple of friends.,place,positive,13,18
1,i love margherita pizza -- i looove east village pizza,east village pizza,positive,36,56
2,"Cheeses get short shrift by waitstaff, who all seem hurried.",waitstaff,negative,28,37
3,The waiter and busboy apologized for the host who claims to have done this many times in his 13 years in the biz.,waiter,positive,4,10
4,"Fantastic flavor, but certainly not worth the high price of the small glass.",price,negative,51,56
5,"With so many $20 bottles of wines from which to choose, our waiter helped pick a good one.",wines,neutral,28,33
6,The waitress lost some points for not refilling our champagne glasses.,waitress,negative,4,12
7,"Succulent, buxom mussels can be had four ways: with classical white wine, tomatoes, luxurious Pernod and cream, or chorizo and white beans.",white wine,neutral,62,72
8,I have seen the crowd go from ultra hip to BT and I still love it becuause of the food.,food,positive,82,86
9,"for an appetizer, their calamari is a winner.",calamari,positive,24,32
10,"My favorite was the apple dessert, which came with little squares of pear and apple jelly.",apple dessert,positive,20,33
11,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative,15,23
12,"The service was not great, the wait staff were not clear on the ingredients and or preparation details of the meals.",ingredients,neutral,64,75
13,"The ingredients taste fresher , the crust is thinner and crispier , the slice is less oily , and it 's never burnt like it occasionally is at Joe 's .",ingredients,positive,4,15
14,"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.",waitstaff,negative,62,71
15,The food was then rushed unappealing never once were we asked if we'd like a a second bottle of water let alone a second drink.,food,negative,4,8
16,"Considering their price of $ 6.25 for lunch special , the dish was ridiculously small .",price,negative,18,23
17,If you want something really different than try Jekyll and Hyde .,Jekyll and Hyde,positive,48,65
18,"Service is not particularly warm, but I've gone back again and again (for dinner) over the years on an almost monthly basis.",Service,negative,0,7
19,"Recommend eating at the bar for an intimate, relaxed dinner.",dinner,positive,53,59
20,"Though you will undoubtedly be seated at a table with what seems like barely enough room ( no matter what the size of your party ) , the warm atomosphere is worth the cramped quarters - you 'll have fun and forgot about the tight spot you 're in .",atomosphere,positive,142,153
21,The store has a great atmosphere amd amazing staff who are always there to help if its a cup of coffee or a nice chat.,cup of coffee,neutral,89,102
22,I have eaten a lot of pizza here.,pizza,neutral,22,27
23,ambience and decoration was nice but for a check of $330 for 5 for brunch and with just average food.,brunch,neutral,67,73
24,"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",spot,negative,116,120
25,"The service leaves much to be desired , from feeling like you are rushed the place your order , to being ignored the rest of the night .",service,negative,4,11
26,"We waited half an hour just to get menus, and watched another table of 10 people leave because they had been ignored by the (single) waiter.",waiter,negative,133,139
27,"The Food The owners' visits to farmers' markets in Brooklyn drive the ingredient-centric New American menu, which changes about once a month.",owners,neutral,13,19
28,We asked for the check and had to wait 20mins for the waitress to come back and take our card.,waitress,negative,54,62
